================================================================================
IPv4,Conversations
Filter:tcp.flags.syn==1
,|,<-,|,|,->,|,|,Total,|,Relative,|,Duration,|
,|,Frames,Bytes,|,|,Frames,Bytes,|,|,Frames,Bytes,|,Start,|,|
209.241.99.58,<->,71.126.222.64,0,0,38,1824,38,1824,0.046896000,0.4437
195.216.1.86,<->,71.126.222.64,0,0,37,1776,37,1776,0.006975000,0.4801
195.38.237.153,<->,71.126.222.64,0,0,30,1440,30,1440,0.027068000,0.4842
167.46.3.209,<->,71.126.222.64,0,0,28,1344,28,1344,0.003696000,0.4656
195.52.240.138,<->,71.126.222.64,0,0,27,1296,27,1296,0.038496000,0.4707
194.126.183.219,<->,71.126.222.64,0,0,27,1296,27,1296,0.024185000,0.4755
133.67.209.83,<->,71.126.222.64,0,0,27,1296,27,1296,0.017785000,0.4952
192.173.201.75,<->,71.126.222.64,0,0,27,1296,27,1296,0.015365000,0.4838
217.238.32.123,<->,71.126.222.64,0,0,27,1296,27,1296,0.012702000,0.4810
130.119.190.246,<->,71.126.222.64,0,0,27,1296,27,1296,0.007698000,0.5038
215.64.43.230,<->,71.126.222.64,0,0,26,1248,26,1248,0.044696000,0.4345
71.126.222.64,<->,58.223.31.92,26,1248,0,0,26,1248,0.015670000,0.4700
203.57.213.126,<->,71.126.222.64,0,0,26,1248,26,1248,0.001403000,0.5101
192.229.242.166,<->,71.126.222.64,0,0,25,1200,25,1200,0.040287000,0.4611
203.188.180.225,<->,71.126.222.64,0,0,25,1200,25,1200,0.009155000,0.4853
196.208.28.12,<->,71.126.222.64,0,0,25,1200,25,1200,0.006206000,0.4906
192.50.5.194,<->,71.126.222.64,0,0,24,1152,24,1152,0.026094000,0.4816
212.204.87.232,<->,71.126.222.64,0,0,24,1152,24,1152,0.019687000,0.4900
71.126.222.64,<->,60.222.5.21,24,1152,0,0,24,1152,0.013184000,0.4817
71.126.222.64,<->,38.165.190.90,24,1152,0,0,24,1152,0.012048000,0.4283
211.186.118.80,<->,71.126.222.64,0,0,24,1152,24,1152,0.007263000,0.4955
167.15.184.229,<->,71.126.222.64,0,0,23,1104,23,1104,0.133882000,0.3646
203.223.34.138,<->,71.126.222.64,0,0,23,1104,23,1104,0.030115000,0.4834
71.126.222.64,<->,55.151.125.157,23,1104,0,0,23,1104,0.029722000,0.4822
167.13.39.9,<->,71.126.222.64,0,0,23,1104,23,1104,0.026505000,0.4504
192.126.192.190,<->,71.126.222.64,0,0,23,1104,23,1104,0.023076000,0.4874
202.42.83.79,<->,71.126.222.64,0,0,23,1104,23,1104,0.022432000,0.4856
198.83.232.76,<->,71.126.222.64,0,0,23,1104,23,1104,0.007481000,0.5045
71.126.222.64,<->,52.115.91.169,23,1104,0,0,23,1104,0.002993000,0.5058
208.119.226.72,<->,71.126.222.64,0,0,22,1056,22,1056,0.065585000,0.4475
192.87.52.192,<->,71.126.222.64,0,0,22,1056,22,1056,0.063306000,0.4373
80.203.17.105,<->,71.126.222.64,0,0,22,1056,22,1056,0.036843000,0.4079
195.181.124.222,<->,71.126.222.64,0,0,22,1056,22,1056,0.020346000,0.4893
204.167.121.55,<->,71.126.222.64,0,0,22,1056,22,1056,0.019594000,0.4924
204.172.167.43,<->,71.126.222.64,0,0,22,1056,22,1056,0.013866000,0.5011
192.5.232.167,<->,71.126.222.64,0,0,22,1056,22,1056,0.012790000,0.5013
202.223.248.93,<->,71.126.222.64,0,0,22,1056,22,1056,0.010895000,0.5004
193.210.144.122,<->,71.126.222.64,0,0,22,1056,22,1056,0.007402000,0.4846
213.77.217.2,<->,71.126.222.64,0,0,22,1056,22,1056,0.007016000,0.4696
71.126.222.64,<->,52.87.251.203,22,1056,0,0,22,1056,0.003341000,0.5116
194.164.91.103,<->,71.126.222.64,0,0,22,1056,22,1056,0.002126000,0.4725
209.247.101.83,<->,71.126.222.64,0,0,21,1008,21,1008,0.035243000,0.4598
215.162.98.255,<->,71.126.222.64,0,0,21,1008,21,1008,0.026026000,0.4435
214.132.221.130,<->,71.126.222.64,0,0,21,1008,21,1008,0.017195000,0.4798
194.206.27.219,<->,71.126.222.64,0,0,21,1008,21,1008,0.016873000,0.4859
200.212.120.22,<->,71.126.222.64,0,0,21,1008,21,1008,0.013543000,0.4865
71.126.222.64,<->,55.169.173.201,21,1008,0,0,21,1008,0.013481000,0.4801
71.126.222.64,<->,54.113.185.215,21,1008,0,0,21,1008,0.010096000,0.4497
215.81.245.72,<->,71.126.222.64,0,0,21,1008,21,1008,0.008733000,0.4924
192.79.187.9,<->,71.126.222.64,0,0,21,1008,21,1008,0.008672000,0.4799
216.116.242.56,<->,71.126.222.64,0,0,21,1008,21,1008,0.005503000,0.5072
72.123.220.104,<->,71.126.222.64,0,0,21,1008,21,1008,0.002795000,0.4978
215.73.249.204,<->,71.126.222.64,0,0,20,960,20,960,0.067303000,0.4398
71.126.222.64,<->,55.166.114.74,20,960,0,0,20,960,0.056914000,0.4434
71.126.222.64,<->,57.222.217.116,20,960,0,0,20,960,0.046557000,0.4419
194.252.80.212,<->,71.126.222.64,0,0,20,960,20,960,0.046505000,0.4674
193.86.91.118,<->,71.126.222.64,0,0,20,960,20,960,0.035964000,0.4703
212.62.250.130,<->,71.126.222.64,0,0,20,960,20,960,0.026810000,0.4651
